id,minutes_late,minutes_early,on_time,fifteen_early,very_early,fifteen_late,very_late,has_issue,charge,order_num,zone_id,rating,batch_type,warehouse,refunded,replaced
234770763,0,117.5995076,0,0,1,0,0,0,28.9,86,34,0,delivery,324,0,0
234728379,0,86.59693043,0,0,1,0,0,0,58.44,9,18,4,delivery,283,0.125,0
234802232,0,82.36477728,0,0,1,0,0,0,122.7,9,18,5,picking_only,542,0,0.173913043
234709073,0,82.16165707,0,0,1,0,0,0,113.11,10,27,5,delivery,993,0,0
234696535,0,81.41683297,0,0,1,0,0,0,88.64,1,27,0,picking_only,520,0.285714286,0
234742450,0,79.86153477,0,0,1,0,0,0,11.99,21,27,0,picking_only,263,0,1
234789737,0,79.2818887,0,0,1,0,0,0,52.7,22,27,0,picking_only,520,0.1,0.1
234817088,0,77.08773122,0,0,1,0,0,0,87.19,21,27,0,delivery,993,0,0.25
234778378,0,77.00165052,0,0,1,0,0,0,173.36,6,18,0,delivery,283,0.3125,0.0625
234814367,0,76.2272177,0,0,1,0,0,0,48.35,20,18,4,picking_only,212,0.142857143,0
234793801,0,75.87263242,0,0,1,0,0,0,40.72,3,27,0,picking_only,521,0,0.214285714
234689621,0,75.66684988,0,0,1,0,0,0,52.8,2,27,0,picking_only,520,0.1,0.1
234836569,0,75.31822848,0,0,1,0,0,0,159.3,8,27,0,picking_only,521,0.666666667,0
234873537,0,72.71995827,0,0,1,0,0,0,105.14,7,27,0,delivery,284,0,0
234770510,0,72.34730787,0,0,1,0,0,0,48.31,6,27,5,delivery,993,0.25,0
234758316,0,71.87137677,0,0,1,0,0,0,39.61,32,18,5,picking_only,542,0.166666667,0
234778835,0,71.72683948,0,0,1,0,0,1,119.3,4,18,5,delivery,283,0.142857143,0.142857143
234860519,0,70.86431538,0,0,1,0,0,0,45.26,55,27,0,delivery,993,0.2,0
234781676,0,70.85685135,0,0,1,0,0,0,41.6,38,27,0,picking_only,263,0.1,0.3
234741885,0,70.25737202,0,0,1,0,0,0,22.12,1,18,5,picking_only,542,0,0.333333333
234771827,0,70.10195767,0,0,1,0,0,0,84,1,18,5,picking_only,542,0.2,0
234775808,0,69.49923343,0,0,1,0,0,1,109.06,2,18,4,picking_only,222,0.0625,0
234731596,0,69.26704383,0,0,1,0,0,0,206.04,2,27,0,picking_only,521,0.081081081,0.135135135
234693316,0,68.86471473,0,0,1,0,0,0,69.94,6,27,0,picking_only,263,0,0.083333333
234708864,0,68.75550472,0,0,1,0,0,0,35.67,5,18,0,picking_only,542,0,0.2
234702192,0,68.22337685,0,0,1,0,0,0,136.33,1,27,3,picking_only,520,0.321428571,0
234757152,0,67.66947455,0,0,1,0,0,0,32.53,1,27,0,picking_only,264,0.25,0.125
234730102,0,67.30474508,0,0,1,0,0,0,8.8,1,18,0,picking_only,542,0,0.666666667
234737164,0,67.17476855,0,0,1,0,0,0,281.2,23,34,0,delivery,283,0.05,0.1
234755022,0,65.75107593,0,0,1,0,0,0,53.99,12,27,0,picking_only,520,0,0.2
234688774,0,65.71014357,0,0,1,0,0,0,77.63,2,27,2,picking_only,263,0.125,0
234744565,0,65.22714927,0,0,1,0,0,0,110.14,5,27,0,picking_only,520,0,0.043478261
234778070,0,65.202709,0,0,1,0,0,0,92.21,1,18,4,picking_only,212,0,0.294117647
234746087,0,64.16908818,0,0,1,0,0,0,48.94,10,18,4,picking_only,542,0.111111111,0.222222222
234819493,0,62.99393332,0,0,1,0,0,0,222.23,3,27,0,delivery,993,0.076923077,0.076923077
234817416,0,62.9879218,0,0,1,0,0,0,171.76,2,27,0,picking_only,520,0.181818182,0
234689971,0,62.61869022,0,0,1,0,0,0,351.92,1,27,3,picking_only,264,0.315789474,0
234702171,0,62.59179428,0,0,1,0,0,0,67.12,11,27,0,picking_only,520,0,0
234721671,0,61.4315227,0,0,1,0,0,0,38.03,13,18,0,picking_only,222,0,0
234792432,0,61.30184532,0,0,1,0,0,0,105.77,8,27,3,picking_only,521,0,0.04
234849852,0,60.86551237,0,0,1,0,0,0,40.1,1,18,5,delivery,283,0,0.5
234786773,0,60.84942317,0,0,1,0,0,0,164.2,1,18,5,picking_only,212,0.108108108,0.081081081
234874127,0,60.228002,0,0,1,0,0,0,18.87,1,18,0,picking_only,542,0,0.333333333
234786750,0,60.05915567,0,0,1,0,0,0,177.7,5,34,0,picking_only,324,0.027777778,0.138888889
234747328,0,59.82391878,0,0,1,0,0,0,49.19,3,18,0,picking_only,222,0,0
234775204,0,59.35411568,0,0,1,0,0,0,6.87,1,18,0,picking_only,542,0,0.285714286
234744852,0,59.16826335,0,0,1,0,0,0,168.35,6,27,0,delivery,993,0,0.076923077
234807375,0,58.70039677,0,0,1,0,0,0,124.15,1,27,5,picking_only,264,0.041666667,0.041666667
234806309,0,58.24921218,0,0,1,0,0,0,76.63,9,27,3,picking_only,520,0,0.1
234808821,0,58.0989213,0,0,1,0,0,0,27.99,3,18,0,picking_only,542,0,0.333333333
234856257,0,57.74364275,0,0,1,0,0,0,66.79,10,27,0,picking_only,520,0,0
234745536,0,57.48880673,0,0,1,0,0,0,63.06,8,27,0,picking_only,521,0.222222222,0.111111111
234834420,0,57.27044052,0,0,1,0,0,0,45.24,8,18,2,picking_only,542,0.2,0
234821710,0,57.259458,0,0,1,0,0,0,52.79,4,18,5,picking_only,222,0,0
234748523,0,57.23265347,0,0,1,0,0,0,102.09,7,34,0,delivery,327,0.181818182,0
234671242,0,56.69859338,0,0,1,0,0,0,123.11,6,18,5,picking_only,222,0,0.166666667
234740837,0,56.6342925,0,0,1,0,0,0,152.33,14,27,0,picking_only,521,0.222222222,0.166666667
234804808,0,56.23366567,0,0,1,0,0,0,110.9,5,18,5,picking_only,222,0.166666667,0
234757901,0,56.11562487,0,0,1,0,0,0,50.65,3,18,0,picking_only,542,0.2,0.2
234726430,0,56.08798518,0,0,1,0,0,0,145.89,2,18,0,picking_only,222,0,0.076923077
234731203,0,55.9018471,0,0,1,0,0,0,22.29,2,18,5,picking_only,542,0,0.25
234743203,0,55.81995647,0,0,1,0,0,0,125.49,5,34,0,picking_only,523,0,0.117647059
234847825,0,55.75747252,0,0,1,0,0,0,213.54,1,34,0,picking_only,324,0.333333333,0
234725826,0,55.62087277,0,0,1,0,0,0,271.58,1,18,0,delivery,283,0.047619048,0.047619048
234721358,0,55.43961292,0,0,1,0,0,0,171.76,1,27,3,picking_only,521,0.375,0.25
234735393,0,55.43950912,0,0,1,0,0,0,82.3,1,27,0,picking_only,263,0,0
234747043,0,55.37538262,0,0,1,0,0,0,33.71,1,18,5,picking_only,542,0,0
234694818,0,55.2883351,0,0,1,0,0,0,211.99,2,27,0,delivery,993,0.15,0
234707162,0,54.74631567,0,0,1,0,0,0,39.15,1,18,5,picking_only,542,0,0.181818182
234666941,0,54.4512506,0,0,1,0,0,0,170.47,1,34,4,delivery,283,0.125,0
234763933,0,54.38291007,0,0,1,0,0,0,55.75,3,18,0,picking_only,542,0,0.25
234809711,0,54.0277565,0,0,1,0,0,0,66.56,20,34,0,delivery,283,0,0.142857143
