Transaction_ID,Products,City,Previous_Sessions,Days_Since_Last_Session,Source,Medium,Session_Duration,Revenue,Tax,Shipping,Quantity
313,313 Foodie Sauce,Columbus,1,0,google,cpc,154,$20.00 ,$0.00 ,$6.00 ,2
354,Big Smoke,Ocean City,2,0,paypal.com,referral,51,$20.00 ,$0.00 ,$6.00 ,1
384,313 Foodie Sauce,Detroit,2,0,paypal.com,referral,56,$20.00 ,$0.00 ,$6.00 ,2
232,708 7 Pot Citrus,Farmington Hills,2,0,paypal.com,referral,197,$19.00 ,$0.00 ,$0.00 ,2
151,Green Spicy Moroccan Pepper Sauce,Kalispell,2,1,google,cpc,382,$18.00 ,$0.00 ,$0.00 ,2
171,Extreme Karma,Waco,2,0,paypal.com,referral,0,$18.00 ,$0.00 ,$6.00 ,1
175,Scotch Bonnet & Ginger,New York,44,2,optimizely.com,referral,503,$18.00 ,$0.00 ,$6.00 ,1
199,Habanero Carrot Curry,Santa Monica,2,0,paypal.com,referral,1,$18.00 ,$0.00 ,$6.00 ,1
143,Hamajang Kiawe Smoked Ghost Pepper,San Francisco,1,0,(direct),(none),1961,$17.00 ,$0.00 ,$6.00 ,1
147,Black Label,New York,2,0,(direct),(none),0,$17.00 ,$0.00 ,$0.00 ,2
157,Bad Karma Sauce,Mercersburg,3,0,paypal.com,referral,1,$17.00 ,$0.00 ,$0.00 ,2
169,Hamajang Kiawe Smoked Ghost Pepper,Evergreen,1,0,google,cpc,409,$17.00 ,$0.00 ,$6.00 ,1
236,Brooklyn Grange Hot Sauce,Milwaukee,1,0,brooklyngrangefarm.com,referral,331,$16.00 ,$0.00 ,$6.00 ,1
240,$16.00 Gift Certificate,Bowling Green,5,0,(direct),(none),447,$16.00 ,$0.00 ,$0.00 ,1
296,Secret Aardvark Habanero Hot Sauce,Clearlake,2,0,paypal.com,referral,122,$16.00 ,$0.00 ,$0.00 ,2
196,Rogue,Newport News,4,0,paypal.com,referral,41,$15.00 ,$0.00 ,$6.00 ,1
227,Spicy Moroccan Pepper Sauce,Colorado Springs,2,0,paypal.com,referral,89,$15.00 ,$0.00 ,$6.00 ,1
273,Rogue,Pima,2,0,paypal.com,referral,99,$15.00 ,$0.00 ,$6.00 ,1
341,Rogue,Lawton,1,0,google,cpc,227,$15.00 ,$0.00 ,$6.00 ,1
172,Habanero Hot Sauce,New York,1,0,(direct),(none),259,$14.00 ,$0.00 ,$6.00 ,1
229,Secret Aardvark Habanero Hot Sauce,Naperville,2,0,paypal.com,referral,0,$14.00 ,$0.00 ,$6.00 ,1
238,Tears Of The Sun,Bowling Green,3,7,(direct),(none),1885,$14.00 ,$0.00 ,$6.00 ,1
248,313 Foodie Sauce,Dearborn Heights,3,0,google,cpc,243,$14.00 ,$0.00 ,$0.00 ,2
314,Drunken Jerk Sauce,Shrewsbury,1,0,google,cpc,97,$14.00 ,$0.00 ,$6.00 ,1
340,Secret Aardvark Habanero Hot Sauce,San Francisco,1,0,google,cpc,349,$14.00 ,$0.00 ,$6.00 ,1
346,Secret Aardvark Habanero Hot Sauce,Fruitville,4,1,google,cpc,1197,$14.00 ,$0.00 ,$6.00 ,1
398,Secret Aardvark Habanero Hot Sauce,Richmond,24,2,google,organic,783,$14.00 ,$0.00 ,$6.00 ,1
148,313 Foodie Sauce,Ypsilanti charter Township,2,0,paypal.com,referral,104,$13.00 ,$0.00 ,$6.00 ,1
252,313 Foodie Sauce,New York,2,0,google,organic,909,$13.00 ,$0.00 ,$6.00 ,1
185,Ghost Chili Apple,New York,1,0,google,organic,1487,$12.00 ,$0.00 ,$0.00 ,1
155,Habanero Hot Sauce,New York,3,0,paypal.com,referral,53,$8.00 ,$0.00 ,$0.00 ,1
173,Habanero Hot Sauce,New York,1,0,google,cpc,359,$8.00 ,$0.00 ,$0.00 ,1
180,Habanero Hot Sauce,Albany,1,0,google,cpc,385,$8.00 ,$0.00 ,$0.00 ,1
242,Secret Aardvark Habanero Hot Sauce,Antioch,2,0,paypal.com,referral,59,$8.00 ,$0.00 ,$0.00 ,1
256,Secret Aardvark Habanero Hot Sauce,Ann Arbor,1,0,google,cpc,583,$8.00 ,$0.00 ,$0.00 ,1
297,Drunken Jerk Sauce,Phoenix,2,0,google,cpc,1165,$8.00 ,$0.00 ,$0.00 ,1
303,Secret Aardvark Habanero Hot Sauce,Seattle,5,0,paypal.com,referral,0,$8.00 ,$0.00 ,$0.00 ,1
312,Secret Aardvark Habanero Hot Sauce,Los Angeles,2,0,paypal.com,referral,217,$8.00 ,$0.00 ,$0.00 ,1
319,Drunken Garlic Black Bean,Bozeman,2,0,paypal.com,referral,47,$8.00 ,$0.00 ,$0.00 ,1
378,Secret Aardvark Habanero Hot Sauce,Chicago,1,0,google,cpc,167,$8.00 ,$0.00 ,$0.00 ,1
149,313 Foodie Sauce,New York,40,0,paypal.com,referral,399,$7.00 ,$0.00 ,$0.00 ,1
194,Big Smoke,New York,1,0,(direct),(none),1270,$1.00 ,$0.00 ,$0.00 ,2
